,price,brand,year,mileage
552,3210,nissan,2017,56718.859
553,13200,chevrolet,2017,81106.472
554,27705,ford,2019,25148.67
555,7200,chevrolet,2017,85716.257
556,28714,ford,2019,23790.674
557,11200,chevrolet,2017,137271.835
558,27502,ford,2019,25978.914
559,11900,chevrolet,2017,122623.499
560,29314,ford,2019,24561.385
561,11200,chevrolet,2017,128663.685
562,27002,ford,2019,25838.931
563,13200,chevrolet,2017,100947.05099999999
564,28214,ford,2019,25050.521
565,12700,chevrolet,2017,94821.588
566,29900,ford,2019,28138.192
567,12700,chevrolet,2017,97719.397
568,27202,ford,2019,29846.95
569,13500,chevrolet,2018,85589.146
570,27705,ford,2019,28389.196
571,14700,chevrolet,2016,55436.486
572,29900,ford,2019,28453.556
573,4500,chevrolet,2015,133995.911
574,27705,ford,2019,26709.4
575,8000,chevrolet,2015,173725.339
576,25511,ford,2019,28641.809
577,7700,chevrolet,2015,151487.35
578,29900,ford,2019,27608.831
579,7200,chevrolet,2015,129863.999
580,27502,ford,2019,28934.647
581,4500,chevrolet,2013,193049.429
582,27402,ford,2019,28722.259
583,1500,chevrolet,2013,106321.111
584,26602,ford,2019,29241.966
585,10200,chevrolet,2019,12315.286
586,29900,ford,2019,30183.231
587,14000,chevrolet,2019,18606.476
588,28500,ford,2019,30411.709
589,8000,chevrolet,2016,139244.469
590,29809,ford,2019,34041.613
591,36900,chevrolet,2015,48168.633
592,26902,ford,2019,38558.076
593,10950,chevrolet,2015,94132.936
594,27402,ford,2019,32427.786
595,16900,acura,2014,102171.5
596,25600,ford,2019,37480.046
597,29700,bmw,2016,39087.437
598,27702,ford,2019,32731.887
599,13500,buick,2016,31624.895
600,27102,ford,2019,30731.9
601,27102,ford,2019,32202.525999999998
602,25811,ford,2019,35034.366
603,26602,ford,2019,34112.409
604,27102,ford,2019,35021.494
605,37500,buick,2019,19961.254
606,26211,ford,2019,28924.993
607,24205,ford,2019,36693.245
608,37500,cadillac,2019,25764.917
609,27111,ford,2019,23140.638
610,27411,ford,2019,15542.94
611,27302,ford,2019,30521.121
612,27202,ford,2019,39790.57
613,26311,ford,2019,25497.823
614,26602,ford,2019,40239.481
615,33500,bmw,2017,35583.034999999996
616,27511,ford,2019,19044.124
617,21500,buick,2017,38237.885
618,27200,ford,2019,41042.372
619,26511,ford,2019,29277.364
620,24002,ford,2019,25914.554
621,21500,buick,2017,23985.363
622,18511,ford,2019,20490.615
623,14000,kia,2017,85959.216
624,29000,buick,2017,28865.46
625,23402,ford,2019,28023.953
626,13300,kia,2017,59734.125
627,19700,bmw,2017,98837.652
628,23211,ford,2019,27393.225
629,15500,kia,2017,60607.812
630,18111,ford,2019,25430.245
631,21500,kia,2017,70411.449
632,25511,ford,2019,18249.278
633,17700,chevrolet,2017,57383.376
634,28000,chevrolet,2017,20563.02
635,14000,chevrolet,2017,61878.922
636,21700,chevrolet,2017,55381.78
637,13500,chevrolet,2017,74813.673
638,35500,chevrolet,2017,34220.212
639,29500,chevrolet,2017,49925.661
640,25300,chevrolet,2017,65772.702
641,21500,chevrolet,2016,32614.43
642,25900,chevrolet,2016,53071.256
643,35300,chevrolet,2016,121489.154
644,13500,chevrolet,2016,64281.159
645,62000,chevrolet,2016,31219.427
646,46000,chevrolet,2016,7152.005
647,9000,chevrolet,2016,108650.943
648,25900,chevrolet,2016,54043.092
649,25800,chevrolet,2016,16255.726999999999
650,17000,chevrolet,2016,42596.666
651,12800,chevrolet,2016,64767.077
652,47400,chevrolet,2016,63755.015999999996
653,24400,chevrolet,2016,78366.345
654,17100,chevrolet,2016,31631.331
655,7400,chevrolet,2015,146900.091
656,33100,chevrolet,2015,131316.926
657,22000,chevrolet,2020,288.011
658,35000,chevrolet,2019,8886.507
659,16500,chevrolet,2019,48014.169
660,35300,chevrolet,2019,13702.244
661,26900,chevrolet,2018,69092.069
662,11600,chevrolet,2017,44244.282
663,28100,chevrolet,2017,50105.869
664,27700,chevrolet,2017,33441.456
665,17700,chevrolet,2017,84741.203
666,16600,chevrolet,2017,41838.827
667,63200,chevrolet,2016,6863.994
668,36800,chevrolet,2015,52022.188
669,19500,chevrolet,2018,71331.797
670,38800,chevrolet,2019,58242.582
671,37500,chevrolet,2019,53629.579
672,35000,chevrolet,2019,69318.938
673,31100,chevrolet,2019,39518.649
674,22600,chevrolet,2019,21697.365
675,22400,chevrolet,2019,24978.115999999998
676,22700,chevrolet,2019,14474.564
677,13700,chevrolet,2019,76076.738
678,37100,chevrolet,2019,55462.229999999996
679,18500,chevrolet,2018,140407.776
680,18300,chevrolet,2017,183979.49599999998
681,19000,chevrolet,2017,179620.715
682,18500,chevrolet,2017,167263.595
683,22500,chevrolet,2016,107223.76
684,14500,chevrolet,2014,196326.962
685,32800,chevrolet,2018,75486.235
686,12300,chevrolet,2018,86240.791
687,19600,chevrolet,2018,67050.24799999999
688,13600,chevrolet,2018,57999.623
689,7200,chevrolet,2018,68480.649
690,19900,chevrolet,2018,64915.104999999996
691,13000,chevrolet,2018,67177.359
692,19700,chevrolet,2016,44397.137
693,9400,chevrolet,2017,38630.481
694,23800,chevrolet,2017,137886.473
695,17700,chevrolet,2019,40583.807
696,17000,chevrolet,2015,44934.543
697,14000,chevrolet,2014,217419.343
698,32100,chevrolet,2018,89350.988
699,33100,chevrolet,2019,116124.74799999999
700,31600,chevrolet,2018,92921.359
701,5100,chevrolet,2013,154969.226
702,4100,chevrolet,2013,143445.568
703,7200,chevrolet,2014,184487.94
704,12800,chevrolet,2014,285311.098
705,46800,chevrolet,2019,58604.606999999996
706,21800,chevrolet,2019,38228.231
707,3000,chevrolet,2013,194153.203
708,22500,chevrolet,2017,105138.496
709,35300,chevrolet,2018,82617.323
710,16500,chevrolet,2017,84186.098
711,33000,chevrolet,2017,108800.58
712,31500,chevrolet,2017,96483.685
713,34500,chevrolet,2017,46241.051
714,8000,chevrolet,2016,124583.261
715,25000,chevrolet,2017,33542.823
716,10700,chevrolet,2016,71246.52
717,13400,chevrolet,2016,138423.879
718,16500,chevrolet,2019,12263.798
719,34000,chevrolet,2019,12979.803
720,14100,chevrolet,2018,26551.718
721,38600,chevrolet,2019,33275.729
722,9100,chevrolet,2016,87939.895
723,8600,chevrolet,2016,93040.425
724,22000,chevrolet,2016,94699.304
725,8900,chevrolet,2015,136880.848
726,15500,chevrolet,2015,127925.154
727,3300,chevrolet,2015,137249.309
728,29000,chevrolet,2015,111627.593
729,17300,chevrolet,2020,25063.393
730,30500,chevrolet,2020,37763.23
731,25000,chevrolet,2020,30112.435
732,2800,chevrolet,2012,98564.122
733,3300,chevrolet,2012,212051.719
734,36400,chevrolet,2019,57449.345
735,34800,chevrolet,2019,78812.038
736,20700,chevrolet,2019,54295.705
737,32200,chevrolet,2019,68007.603
738,35300,chevrolet,2019,75402.567
739,33500,chevrolet,2019,58636.787
740,13700,chevrolet,2019,24036.851
741,15900,chevrolet,2019,35439.834
742,33200,chevrolet,2019,61589.301999999996
743,35500,chevrolet,2019,74253.741
744,29800,chevrolet,2018,77919.043
745,29800,chevrolet,2018,78530.463
746,29500,chevrolet,2018,84662.362
747,30300,chevrolet,2018,74808.846
